simulation,n_disasters,total_appropriation,mean_appropriation
4653,1,218240797.90677366,218240797.90677366
4654,1,1004239.3609041208,1004239.3609041208
4655,1,1485431.3012124165,1485431.3012124165
4656,1,1033963.5613183219,1033963.5613183219
4657,1,26631076.39012295,26631076.39012295
4658,5,61717259.2903798,12343451.85807596
4659,6,144551100.43600324,24091850.072667208
4660,1,2508044.4339793706,2508044.4339793706
4661,1,3711578.1932162596,3711578.1932162596
4662,1,24572063.200532526,24572063.200532526
4663,1,1218518.5497751667,1218518.5497751667
4664,1,10628570.858387223,10628570.858387223
4665,1,914438470.4335978,914438470.4335978
4666,2,107698521.9220372,53849260.9610186
4667,5,40473119.97831795,8094623.995663591
4668,3,207946701.12981302,69315567.043271
4669,1,27694375.227915145,27694375.227915145
4670,6,446015657.50708234,74335942.91784705
4671,5,48226446.24568527,9645289.249137055
4672,1,1197773.1935337768,1197773.1935337768
4673,5,111613523.84321852,22322704.768643703
4674,3,57409207.69882959,19136402.56627653
4675,2,15609552.477372462,7804776.238686231
4676,1,3089394.2674388667,3089394.2674388667
4677,1,8957255.286280934,8957255.286280934
4678,1,16360258.77461298,16360258.77461298
4679,1,909098.8652248575,909098.8652248575
4680,1,8842739.122411387,8842739.122411387
4681,1,26811748.96684749,26811748.96684749
4682,1,2483418.54745768,2483418.54745768
4683,6,67301452.59764077,11216908.766273461
4684,1,3555261.4958027373,3555261.4958027373
4685,1,4720415.328987875,4720415.328987875
4686,3,88839430.5909533,29613143.53031777
4687,2,65206228.49086918,32603114.24543459
4688,2,14234836.936721692,7117418.468360846
4689,5,51791872.99991246,10358374.599982493
4690,2,40214505.74737066,20107252.87368533
4691,1,14393826.633216113,14393826.633216113
4692,1,67617693.10027823,67617693.10027823
4693,3,18291478.343173612,6097159.447724537
4694,1,10752775.184564378,10752775.184564378
4695,1,4443548.343135449,4443548.343135449
4696,1,47456533.31860816,47456533.31860816
4697,1,2988813.507241929,2988813.507241929
4698,5,228651764.02475804,45730352.80495161
4699,6,58829571.966583386,9804928.66109723
4700,2,13232969.804282203,6616484.902141102
4701,1,530821645.2958559,530821645.2958559
4702,1,116176.6390278961,116176.6390278961
4703,6,718079669.4514092,119679944.9085682
4704,1,8432099.846699245,8432099.846699245
4705,6,66200611.22805445,11033435.204675741
4706,1,2790798.2646141765,2790798.2646141765
4707,2,23714599.647319727,11857299.823659863
4708,1,15192517.904257266,15192517.904257266
4709,1,37848666.313854575,37848666.313854575
4710,1,410644.0542034067,410644.0542034067
4711,5,77322475.07540892,15464495.015081784
4712,1,5630269.24371405,5630269.24371405
4713,1,19766398.85552229,19766398.85552229
4714,2,167126168.75857547,83563084.37928773
4715,5,202668079.16524607,40533615.833049215
4716,1,33557271.09058937,33557271.09058937
4717,3,114450407.46374944,38150135.82124981
4718,3,290778341.42387533,96926113.80795844
4719,2,29105125.165105622,14552562.582552811
4720,1,6591164.099832217,6591164.099832217
4721,5,149575150.7829015,29915030.1565803
4722,6,552732705.0686214,92122117.5114369
4723,1,8317585.018446844,8317585.018446844
4724,1,20554234.121517956,20554234.121517956
4725,5,92466578.29195154,18493315.658390306
4726,1,4767321.443954807,4767321.443954807
4727,5,220651397.92661083,44130279.585322164
4728,1,29343232.72004739,29343232.72004739
4729,5,269436884.6140836,53887376.922816716
4730,3,68115245.94857919,22705081.98285973
4731,6,36773431.558305874,6128905.259717646
4732,1,28489117.538659547,28489117.538659547
4733,3,152938653.34529695,50979551.11509898
4734,1,5852028.597324752,5852028.597324752
4735,1,1397712.3178542699,1397712.3178542699
4736,2,1045343316.9824588,522671658.4912294
4737,2,36660773.5626353,18330386.78131765
4738,5,471381246.78767234,94276249.35753447
4739,1,39850906.72191458,39850906.72191458
4740,1,10794603.528262429,10794603.528262429
4741,1,3661537.301183489,3661537.301183489
4742,1,5176490.843583462,5176490.843583462
4743,2,38582144.7814025,19291072.39070125
4744,1,42214319.47415082,42214319.47415082
4745,1,9872172.025697595,9872172.025697595
4746,6,66839239.02043143,11139873.170071905
4747,1,184350.6279868042,184350.6279868042
4748,6,30177117.705241434,5029519.617540239
4749,5,52209723.49920319,10441944.699840639
4750,1,6360404.889878454,6360404.889878454
4751,5,235258575.50912234,47051715.10182447
4752,6,95279341.10789578,15879890.184649296
4753,1,26328242.47676982,26328242.47676982
4754,3,10972090.496948585,3657363.4989828616
4755,1,77699559.69118592,77699559.69118592
4756,1,553704.310959958,553704.310959958
4757,1,25836227.328892723,25836227.328892723
4758,1,8731458.418688904,8731458.418688904
4759,6,192257421.4147188,32042903.5691198
4760,1,14429102.27499313,14429102.27499313
4761,6,462201725.266323,77033620.87772049
4762,5,1620289883.970534,324057976.79410684
4763,1,16860178.075406883,16860178.075406883
4764,1,1541548.461922313,1541548.461922313
4765,1,11650638.549486123,11650638.549486123
4766,2,193994377.14451224,96997188.57225612
4767,5,64644011.0945819,12928802.21891638
4768,2,32118767.63908674,16059383.81954337
4769,3,175647702.8970225,58549234.2990075
